date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2018-10-15,Beans - Retail,KG,pulses and nuts,2500.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2018-11-15,Beans - Retail,KG,pulses and nuts,2575.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-01-15,Beans - Retail,KG,pulses and nuts,2500.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-02-15,Beans - Retail,KG,pulses and nuts,2600.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-03-15,Beans - Retail,KG,pulses and nuts,2600.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-04-15,Beans - Retail,KG,pulses and nuts,3150.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-05-15,Beans - Retail,KG,pulses and nuts,3500.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-06-15,Beans - Retail,KG,pulses and nuts,3550.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-07-15,Beans - Retail,KG,pulses and nuts,3550.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-08-15,Beans - Retail,KG,pulses and nuts,3350.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-09-15,Beans - Retail,KG,pulses and nuts,3225.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-10-15,Beans - Retail,KG,pulses and nuts,3200.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-11-15,Beans - Retail,KG,pulses and nuts,3375.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2019-12-15,Beans - Retail,KG,pulses and nuts,3375.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2020-01-15,Beans - Retail,KG,pulses and nuts,3475.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2020-02-15,Beans - Retail,KG,pulses and nuts,3550.0,UGX,Uganda,Abim,743,Makaratin,2343,50,15,5,5,2343_50_15_5,
2018-10-15,Sorghum - Retail,KG,cereals and tubers,600.0,UGX,Uganda,Abim,743,Makaratin,2343,65,15,5,1,2343_65_15_5,
2018-11-15,Sorghum - Retail,KG,cereals and tubers,700.0,UGX,Uganda,Abim,743,Makaratin,2343,65,15,5,1,2343_65_15_5,
2019-01-15,Sorghum - Retail,KG,cereals and tubers,900.0,UGX,Uganda,Abim,743,Makaratin,2343,65,15,5,1,2343_65_15_5,
2019-02-15,Sorghum - Retail,KG,cereals and tubers,863.0,UGX,Uganda,Abim,743,Makaratin,2343,65,15,5,1,2343_65_15_5,
2019-03-15,Sorghum - Retail,KG,cereals and tubers,763.0,UGX,Uganda,Abim,743,Makaratin,2343,65,15,5,1,2343_65_15_5,
2019-04-15,Sorghum - Retail,KG,cereals and tubers,1100.0,UGX,Uganda,Abim,743,Makaratin,2343,65,15,5,1,2343_65_15_5,
